Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
1/31/2020,South Titusville,AL,Birmingham-Hoover,Jefferson County,Birmingham,4289,778,0.0236,0.0541,0.0305,1276
1/31/2020,Cottage Park,AL,Mobile,Mobile County,Mobile,4322,1074,0.0089,0.0155,0.0292,1851
1/31/2020,Oakleigh,AL,Mobile,Mobile County,Mobile,4324,794,0.0129,-0.0062,0.0227,1083
1/31/2020,Greenwich Hills,AL,Mobile,Mobile County,Mobile,4335,853,-0.0001,-0.0002,-0.0103,1112
1/31/2020,Ensley,AL,Birmingham-Hoover,Jefferson County,Birmingham,4340,739,0.0208,0.0591,-0.0134,1049
1/31/2020,Bellewood,AL,Mobile,Mobile County,Mobile,4476,984,-0.0072,0.0268,0.0688,1005
1/31/2020,Washington Square,AL,Mobile,Mobile County,Mobile,4561,845,0.013,0.0143,0.0242,1019
1/31/2020,Rock Creek,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,836,1237,-0.0164,-0.0166,0.0086,4260
1/31/2020,River Mountain,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,933,993,-0.0007,-0.0146,-0.035,5361
1/31/2020,John Barrow,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,1009,750,0.0006,0.0013,-0.0022,4407
1/31/2020,Upper Baseline,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,1524,729,0.0045,0.0067,-0.0292,1964
1/31/2020,Midtown,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,1567,953,-0.0045,0.0099,0.0088,3594
1/31/2020,Chicot West I-30 So.,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,1626,768,-0.0071,-0.0114,-0.0663,3007
1/31/2020,Walnut Valley,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,1738,868,-0.0108,-0.0024,0.0241,1892
1/31/2020,Oak Forest,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,1945,709,0.001,-0.0014,0.0029,3001
1/31/2020,Otter Creek Crystal,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,2078,1041,0.014,0.029,0.034,2145
1/31/2020,Reservoir,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,2182,932,0.003,-0.0078,-0.1199,2254
1/31/2020,Hillcrest,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,2349,862,-0.0121,-0.0165,-0.0494,3096
1/31/2020,Cloverdale Watson,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,2461,792,0.0138,0.0308,0.0155,1697
1/31/2020,Heights,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,2599,936,0.0002,0.0347,0.0469,2585
1/31/2020,Stephens,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,2740,701,0.0019,-0.0004,-0.0016,2083
1/31/2020,Westwood-Pecan Lake,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,3077,898,0.0001,0.0248,0.0895,2045
1/31/2020,Downtown Neighborhood,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,3313,759,-0.001,0.0115,0.0061,2095
1/31/2020,Wakefield,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,3464,706,-0.0017,-0.0132,-0.0163,2297
1/31/2020,65th St. West,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,3612,811,0.0233,0.0462,0.0361,1544
1/31/2020,South End,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,3753,746,0.012,0.0227,0.0204,1577
1/31/2020,East of I-30,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,3936,719,0.0178,0.0264,0.0203,1080
1/31/2020,Capitol View-Stifft Station,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,4077,786,-0.0047,0.015,0.0122,1454
1/31/2020,West Markham,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,4148,775,-0.0173,-0.0091,-0.0229,1324
1/31/2020,Downtown CBD,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,4565,860,-0.0046,-0.0021,0.0171,1342
1/31/2020,South Geyer Springs,AR,Little Rock-North Little Rock-Conway,Pulaski County,Little Rock,4576,764,-0.0089,-0.0129,-0.0268,1009
1/31/2020,Maryvale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,1,1260,0.0141,0.0263,0.0821,56470
1/31/2020,Paradise Valley,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,9,1539,-0.0072,0.0085,0.0833,66097
1/31/2020,Deer Valley,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,10,1385,-0.0039,0.0096,0.0713,61677
1/31/2020,North Mountain,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,11,1393,0.0005,0.0182,0.0746,54714
1/31/2020,Camelback East,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,17,1646,0.0003,0.0077,0.1215,58083
1/31/2020,Alhambra,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,20,1353,-0.0017,0.0123,0.0662,37586
1/31/2020,South Mountain,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,28,1343,0.0011,0.0268,0.1077,37359
1/31/2020,Estrella,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,58,1295,0.0038,0.006,0.084,23246
1/31/2020,Ahwatukee Foothills,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,64,1554,0.0084,0.0147,0.0767,32768
1/31/2020,Laveen,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,127,1434,0.0027,0.065,0.0976,21034
1/31/2020,Central City,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,135,1388,-0.0116,0.0293,0.1001,11708
1/31/2020,Encanto,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,144,1451,0.0027,0.0218,0.1016,19352
1/31/2020,Casas Adobes,AZ,Tucson,Pima County,Tucson,158,1353,0.0034,0.0229,0.0618,19930
1/31/2020,Desert View,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,176,2072,0.0088,0.0304,0.1353,22831
1/31/2020,Flowing Wells,AZ,Tucson,Pima County,Tucson,333,972,-0.0052,-0.0377,0,4636
1/31/2020,Drexel Heights,AZ,Tucson,Pima County,Tucson,363,1193,0.0186,0.0213,0.0688,7750
1/31/2020,Tanque Verde,AZ,Tucson,Pima County,Tucson,681,1650,0.019,-0.0025,0.0624,7213
1/31/2020,Sun Lakes,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Chandler,732,1663,0.0242,0.0234,0.0633,9994
1/31/2020,Rita Ranch,AZ,Tucson,Pima County,Tucson,782,1377,0.018,0.0272,0.0992,5927
1/31/2020,The Groves,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,833,1402,-0.0041,0.0062,0.0786,2683
1/31/2020,Sunnyside,AZ,Tucson,Pima County,Tucson,906,993,0.013,-0.0075,0.0299,3794
1/31/2020,Dobson Ranch,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,1016,1501,0.0017,0.0089,0.0908,6217
1/31/2020,Reed Park,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,1065,1351,-0.0027,0.0229,0.0821,2742
1/31/2020,Tucson Estates,AZ,Tucson,Pima County,Tucson,1110,1193,0.0123,0.0094,0.0975,2366
1/31/2020,Superstition Springs,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,1396,1544,0.0045,0.0187,0.0603,3016
1/31/2020,Cherry Avenue,AZ,Tucson,Pima County,Tucson,1486,1015,0.0172,0.0066,0.0399,2366
1/31/2020,Elvira,AZ,Tucson,Pima County,Tucson,1735,1080,0.0066,0.0184,0.0571,2402
1/31/2020,Amphi,AZ,Tucson,Pima County,Tucson,1935,956,0.0088,0.0018,0.0197,1102
1/31/2020,Alta Mesa,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,2037,1555,0.0044,-0.0064,0.076,3158
1/31/2020,Garden District,AZ,Tucson,Pima County,Tucson,2089,1005,-0.0009,-0.0115,0.0344,1831
1/31/2020,Historic Avondale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Avondale,2163,1292,0.0056,0.0058,0.081,1725
1/31/2020,Corbett,AZ,Tucson,Pima County,Tucson,2310,1000,0.0147,0.0135,0.0879,2062
1/31/2020,Amberwood North,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Chandler,2395,1494,-0.0051,0.0047,0.0702,1923
1/31/2020,The Islands,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Gilbert,2404,1677,-0.0038,-0.0063,0.0706,2931
1/31/2020,Sun Groves,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Chandler,2436,1865,0.0106,0.0255,0.1405,2105
1/31/2020,Val Vista Lakes,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Gilbert,2443,1582,-0.0044,0.0204,0.0456,2347
1/31/2020,San Tan Ranch,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Gilbert,2475,1584,-0.0025,0.0001,0.0617,2524
1/31/2020,Ocotillo,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Chandler,2512,1819,0.0152,0.0026,0.0568,2850
1/31/2020,Augusta Ranch,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,2644,1653,-0.0003,0.0275,0.0819,2505
1/31/2020,Menlo Park,AZ,Tucson,Pima County,Tucson,2684,1134,0.0102,0.0217,0.0673,1491
1/31/2020,Groves Lincoln Park,AZ,Tucson,Pima County,Tucson,2743,1010,0.0188,0.0042,0.0582,2135
1/31/2020,Terra Del Sol,AZ,Tucson,Pima County,Tucson,2763,988,0.0193,0.0272,0.1026,1934
1/31/2020,Broadway Pantano East,AZ,Tucson,Pima County,Tucson,2771,1210,0.006,0.014,0.0725,1583
1/31/2020,Campus Farm,AZ,Tucson,Pima County,Tucson,2812,1230,-0.0019,0.0102,0.0583,1595
1/31/2020,Mesa Grande,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,2831,1382,0.0002,0.0001,0.0746,1805
1/31/2020,Lakeside Park,AZ,Tucson,Pima County,Tucson,2835,1150,0.0071,0.003,0.0301,1809
1/31/2020,Keeling,AZ,Tucson,Pima County,Tucson,2898,885,0.0171,-0.0043,0.0556,1134
1/31/2020,The Provinces,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Chandler,2936,1598,0.0066,0.0216,0.1004,2283
1/31/2020,Garden Lakes,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Avondale,2954,1534,0.0281,0.0551,0.0575,2511
1/31/2020,Summer Place Village,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,2993,1591,0.0092,0.0134,0.0838,1555
1/31/2020,Spectrum,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Gilbert,2997,1578,0.0007,0.0114,0.0367,1857
1/31/2020,Sam Hughes,AZ,Tucson,Pima County,Tucson,3038,1431,-0.0136,-0.0078,0.0454,2143
1/31/2020,Palo Verde,AZ,Tucson,Pima County,Tucson,3141,1116,0.0034,-0.0091,0.0085,1824
1/31/2020,Wakefield,AZ,Tucson,Pima County,Tucson,3147,828,-0.0014,-0.0306,-0.0933,1298
1/31/2020,Escalante,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Tempe,3193,1397,0.0032,0.024,0.0769,1289
1/31/2020,Julia Keen,AZ,Tucson,Pima County,Tucson,3257,970,-0.0028,0.0007,0.0531,2062
1/31/2020,Park of the Canals,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,3271,1583,-0.0103,0.004,0.0798,1370
1/31/2020,Coldwater Springs,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Avondale,3291,1496,0.0107,0.0296,0.0875,2119
1/31/2020,Coronado Ranch,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Gilbert,3407,1902,0.026,0.029,0.1536,1089
1/31/2020,Eastside,AZ,Tucson,Pima County,Tucson,3427,1517,0.0006,0.0032,0.043,1760
1/31/2020,Meyer Park,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Tempe,3458,1445,0.0039,0.013,0.0744,1181
1/31/2020,Sunland Village,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,3546,1457,-0.0041,0.0188,0.0937,2713
1/31/2020,Miramonte,AZ,Tucson,Pima County,Tucson,3593,1172,0.0051,0.0077,0.0581,1017
1/31/2020,Sunnyside,AZ,Flagstaff,Coconino County,Flagstaff,3603,1616,-0.0134,0.0251,0.0538,1098
1/31/2020,Finley Farms,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Gilbert,3699,1632,0.0232,0.0496,0.0478,1355
1/31/2020,Hedrick Acres,AZ,Tucson,Pima County,Tucson,3722,925,0.0058,0.0038,0.0105,1205
1/31/2020,Dobson Woods,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,3739,1604,-0.0053,-0.0009,0.0798,1043
1/31/2020,Blenman-Elm,AZ,Tucson,Pima County,Tucson,3831,1351,0.0195,0.0219,0.1123,1380
1/31/2020,Westside Development,AZ,Tucson,Pima County,Tucson,3854,1107,-0.0128,-0.0244,0.066,1458
1/31/2020,The Traditions,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Chandler,3962,1666,-0.0018,-0.0047,0.0519,1301
1/31/2020,Pepperwood,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Tempe,3965,1512,-0.0023,0.0082,0.0646,1488
1/31/2020,South Park,AZ,Tucson,Pima County,Tucson,4030,1061,-0.003,0.02,0.07,1015
1/31/2020,Parkwood Ranch,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,4057,1587,0.0054,0.0086,0.0977,1558
1/31/2020,Harrison East-South,AZ,Tucson,Pima County,Tucson,4073,1245,0.0095,0.0372,0.0448,1546
1/31/2020,Leisure World,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,4124,1493,0.0015,0.0161,0.0529,1888
1/31/2020,Sunland Springs Village,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,4160,1644,-0.0024,-0.0016,0.0296,2649
1/31/2020,Fountain of the Sun,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,4213,1395,-0.0062,0.0129,0.051,2290
1/31/2020,Sunland Village East,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,4224,1504,0.0027,0.0056,0.0627,2539
1/31/2020,Sunset,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Tempe,4275,1398,0.0191,0.0272,0.0988,1002
1/31/2020,Houghton,AZ,Tucson,Pima County,Tucson,4307,1509,0.0166,0.0143,0.0992,1512
1/31/2020,Golden Hills,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,4313,1445,-0.001,-0.005,0.0647,2639
1/31/2020,Old Fort Lowell,AZ,Tucson,Pima County,Tucson,4327,1603,0.0102,0.0351,0.0871,1027
1/31/2020,Buckhorn,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,4332,1534,0.0048,-0.0044,0.0851,1024
1/31/2020,Encanto,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,4341,1362,0.0054,0.0104,0.0725,1358
1/31/2020,Twelve Oaks,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Chandler,4399,1688,0.0006,0.0082,0.0333,1534
1/31/2020,Civano,AZ,Tucson,Pima County,Tucson,4418,1495,-0.0028,0.0157,0.1135,1828
1/31/2020,Springfield Lakes,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Chandler,4433,1794,0.0058,0.008,0.0582,1620
1/31/2020,Crystal Garden,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Avondale,4532,1520,0.0087,0.0111,0.0833,1014
1/31/2020,Prince Tucson,AZ,Tucson,Pima County,Tucson,4613,1294,-0.0026,0.0035,0.0466,1411
1/31/2020,Villages of Eastridge,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,4677,1714,-0.0179,0.0268,0.0834,1126
1/31/2020,Country Club Estates,AZ,Flagstaff,Coconino County,Flagstaff,4678,1918,0.0112,0.0048,0.0202,1579
1/31/2020,Bridges at Gilbert,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Gilbert,4706,1818,-0.0029,0.011,0.0767,1423
1/31/2020,Sunbird,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Chandler,4710,1588,0.0175,0.0338,0.1453,1296
1/31/2020,Santa Rita Ranch,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,4734,1700,0.0003,-0.0118,0.0502,1107
1/31/2020,Starr Pass,AZ,Tucson,Pima County,Tucson,4806,1284,-0.0032,0.0075,0.0516,1053
1/31/2020,South Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,3,2351,-0.0079,-0.0127,-0.0117,37112
1/31/2020,Southeast Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,7,2325,-0.0034,-0.0123,-0.0208,27518
1/31/2020,Hollywood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,16,2784,-0.0168,-0.0058,0.0353,16042
1/31/2020,Roosevelt,CA,Fresno,Fresno County,Fresno,24,1156,0.0147,-0.0179,0.0372,29062
1/31/2020,East San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose,29,2992,-0.0033,-0.0131,-0.0235,22172
1/31/2020,Bullard,CA,Fresno,Fresno County,Fresno,37,1467,0,0.0094,0.0446,33572
1/31/2020,West San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose,42,3353,-0.0057,-0.0219,-0.0086,24662
1/31/2020,Blossom Valley,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose,45,3038,-0.0018,-0.0015,-0.0007,26647
1/31/2020,North Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Long Beach,46,2247,0.0048,0.0097,0.0105,16415
1/31/2020,Willow Glen,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose,50,3221,-0.008,-0.0205,-0.0095,25957
1/31/2020,Downtown,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose,53,2927,-0.0043,-0.0119,0.0011,18990
1/31/2020,Mid City,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,54,3030,-0.005,0.0031,0.0219,16686
1/31/2020,Van Nuys,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,56,2501,-0.0072,0.0261,-0.0017,11861
1/31/2020,Sun Valley,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,59,2704,-0.0129,0.0108,0.032,17153
1/31/2020,Northridge,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,60,2757,0.0005,0.0242,0.025,19644
1/31/2020,Sylmar,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,65,2551,-0.0018,0.0009,0.0031,18526
1/31/2020,Boyle Heights,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,66,2262,-0.0015,0.0312,-0.0223,8405
1/31/2020,North Hollywood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,69,2622,-0.0134,0.0106,0.01,13423
1/31/2020,San Pedro,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,70,2548,0.0091,0.0001,0.0065,20470
1/31/2020,North Valley,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose,71,3091,-0.0037,-0.002,-0.0062,18201
1/31/2020,Evergreen,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose,72,3237,-0.0106,-0.0079,-0.0102,24907
1/31/2020,Koreatown,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,73,2457,-0.013,-0.0014,0.0268,6784
